Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213830,5353818,1670546.875,1750155004581.7317,2667,3884.2461538461539,2548,1866.6666666666665,35704,302.86221433325937,3.3018315018315021,-1,-1,99
3,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213831,5354074,1670554.6875,1750155004589.5442,2648,3856.5743589743588,2516,1843.2234432234432,35704,302.86221433325937,3.3018315018315021,-1,-1,99
4,20,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213832,5354330,1670562.5,1750155004597.3567,2667,3884.2461538461539,2535,1857.1428571428571,35704,302.86221433325937,3.3018315018315021,-1,-1,99
5,28,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213833,5354586,1670570.3125,1750155004605.1692,2668,3885.7025641025634,2542,1862.2710622710622,35704,302.86221433325937,3.3018315018315021,-1,-1,99
6,36,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213834,5354842,1670578.125,1750155004612.9817,2668,3885.7025641025634,2545,1864.4688644688642,35703,302.99667036625971,3.3003663003663002,-1,-1,99
7,44,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213835,5355098,1670585.9375,1750155004620.7942,2648,3856.5743589743588,2514,1841.7582417582416,35703,302.99667036625971,3.3003663003663002,-1,-1,99
8,52,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213836,5355354,1670593.75,1750155004628.6067,2668,3885.7025641025634,2531,1854.2124542124541,35703,302.99667036625971,3.3003663003663002,-1,-1,99
9,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213837,5355610,1670601.5625,1750155004636.4192,2668,3885.7025641025634,2539,1860.0732600732599,35704,302.86221433325937,3.3018315018315021,-1,-1,99
10,67,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213838,5355866,1670609.375,1750155004644.2317,2667,3884.2461538461539,2549,1867.3992673992673,35703,302.99667036625971,3.3003663003663002,-1,-1,99
11,75,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213839,5356122,1670617.1875,1750155004652.0442,2648,3856.5743589743588,2515,1842.4908424908424,35703,302.99667036625971,3.3003663003663002,-1,-1,99
12,83,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213840,5356378,1670625,1750155004659.8567,2667,3884.2461538461539,2536,1857.8754578754576,35703,302.99667036625971,3.3003663003663002,-1,-1,99
13,91,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213841,5356634,1670632.8125,1750155004667.6692,2668,3885.7025641025634,2542,1862.2710622710622,35702,303.13124583610926,3.2989010989010992,-1,-1,99
14,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213842,5356890,1670640.625,1750155004675.4817,2667,3884.2461538461539,2550,1868.131868131868,35702,303.13124583610926,3.2989010989010992,-1,-1,99
15,106,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213843,5357146,1670648.4375,1750155004683.2942,2649,3858.0307692307692,2522,1847.6190476190475,35700,303.40075572349411,3.2959706959706963,-1,-1,99
16,114,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213844,5357402,1670656.25,1750155004691.1067,2667,3884.2461538461539,2539,1860.0732600732599,35701,303.26594090202178,3.2974358974358973,-1,-1,99
17,122,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213845,5357658,1670664.0625,1750155004698.9192,2667,3884.2461538461539,2548,1866.6666666666665,35702,303.13124583610926,3.2989010989010992,-1,-1,99
18,130,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,213846,5357914,1670671.875,1750155004706.7317,2666,3882.7897435897435,2548,1866.6666666666665,35701,303.26594090202178,3.2974358974358973,-1,-1,99
