Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418917,7524442,3272789.0625,1750156606823.9192,2656,3868.2256410256409,2499,1830.7692307692307,17932,226.31715771230503,4.4185779377417012,-1,-1,99
3,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418918,7524698,3272796.875,1750156606831.7317,2637,3840.5538461538458,2473,1811.7216117216117,17932,226.31715771230503,4.4185779377417012,-1,-1,99
4,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418919,7524954,3272804.6875,1750156606839.5442,2656,3868.2256410256409,2488,1822.7106227106226,17931,226.57894736842107,4.4134727061556331,-1,-1,99
5,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418920,7525210,3272812.5,1750156606847.3567,2656,3868.2256410256409,2495,1827.8388278388277,17931,226.57894736842107,4.4134727061556331,-1,-1,99
6,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418921,7525466,3272820.3125,1750156606855.1692,2656,3868.2256410256409,2499,1830.7692307692307,17931,226.57894736842107,4.4134727061556331,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418922,7525722,3272828.125,1750156606862.9817,2637,3840.5538461538458,2473,1811.7216117216117,17931,226.57894736842107,4.4134727061556331,-1,-1,99
8,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418923,7525978,3272835.9375,1750156606870.7942,2656,3868.2256410256409,2487,1821.9780219780218,17931,226.57894736842107,4.4134727061556331,-1,-1,99
9,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418924,7526234,3272843.75,1750156606878.6067,2656,3868.2256410256409,2495,1827.8388278388277,17931,226.57894736842107,4.4134727061556331,-1,-1,99
10,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,418925,7526490,3272851.5625,1750156606886.4192,2655,3866.7692307692305,2504,1834.4322344322343,17931,226.57894736842107,4.4134727061556331,-1,-1,99
