Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542296,5555034,4236687.5,1750157570722.3567,2645,3852.2051282051279,2469,1808.7912087912086,35834,286.34361233480178,3.4923076923076923,-1,-1,99
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542297,5555290,4236695.3125,1750157570730.1692,2646,3853.6615384615384,2471,1810.2564102564102,35835,286.22352694485215,3.4937728937728938,-1,-1,99
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542298,5555546,4236703.125,1750157570737.9817,2639,3843.4666666666667,2464,1805.1282051282051,35834,286.34361233480178,3.4923076923076923,-1,-1,99
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542299,5555802,4236710.9375,1750157570745.7942,2646,3853.6615384615384,2469,1808.7912087912086,35835,286.22352694485215,3.4937728937728938,-1,-1,99
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542300,5556058,4236718.75,1750157570753.6067,2645,3852.2051282051279,2471,1810.2564102564102,35834,286.34361233480178,3.4923076923076923,-1,-1,99
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542301,5556314,4236726.5625,1750157570761.4192,2646,3853.6615384615384,2472,1810.9890109890109,35834,286.34361233480178,3.4923076923076923,-1,-1,99
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542302,5556570,4236734.375,1750157570769.2317,2639,3843.4666666666667,2464,1805.1282051282051,35834,286.34361233480178,3.4923076923076923,-1,-1,99
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542303,5556826,4236742.1875,1750157570777.0442,2646,3853.6615384615384,2469,1808.7912087912086,35834,286.34361233480178,3.4923076923076923,-1,-1,99
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542304,5557082,4236750,1750157570784.8567,2646,3853.6615384615384,2471,1810.2564102564102,35834,286.34361233480178,3.4923076923076923,-1,-1,99
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,542305,5557338,4236757.8125,1750157570792.6692,2646,3853.6615384615384,2472,1810.9890109890109,35834,286.34361233480178,3.4923076923076923,-1,-1,99
