Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658434,1731930,5144015.625,1750158478050.4817,2640,3844.9230769230767,2446,1791.9413919413919,36469,226.10568162994869,4.4227106227106212,-1,-1,99
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658435,1732186,5144023.4375,1750158478058.2942,2641,3846.3794871794871,2451,1795.6043956043954,36469,226.10568162994869,4.4227106227106212,-1,-1,99
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658436,1732442,5144031.25,1750158478066.1067,2639,3843.4666666666667,2453,1797.069597069597,36469,226.10568162994869,4.4227106227106212,-1,-1,99
5,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658437,1732698,5144039.0625,1750158478073.9192,2640,3844.9230769230767,2450,1794.8717948717947,36469,226.10568162994869,4.4227106227106212,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658438,1732954,5144046.875,1750158478081.7317,2640,3844.9230769230767,2448,1793.4065934065932,36469,226.10568162994869,4.4227106227106212,-1,-1,99
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658439,1733210,5144054.6875,1750158478089.5442,2642,3847.8358974358971,2453,1797.069597069597,36469,226.10568162994869,4.4227106227106212,-1,-1,99
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658440,1733466,5144062.5,1750158478097.3567,2640,3844.9230769230767,2450,1794.8717948717947,36469,226.10568162994869,4.4227106227106212,-1,-1,99
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658441,1733722,5144070.3125,1750158478105.1692,2636,3839.0974358974354,2441,1788.2783882783881,17911,231.94493783303739,4.3113680744342746,-1,-1,99
10,72,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658442,1733978,5144078.125,1750158478112.9817,2640,3844.9230769230767,2443,1789.7435897435896,17910,232.21991701244821,4.3062628428482066,-1,-1,99
11,80,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658443,1734234,5144085.9375,1750158478120.7942,2640,3844.9230769230767,2444,1790.4761904761904,17909,232.49554896142433,4.3011576112621404,-1,-1,99
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658444,1734490,5144093.75,1750158478128.6067,2639,3843.4666666666667,2449,1794.1391941391939,17908,232.7718360071301,4.2960523796760732,-1,-1,99
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658445,1734746,5144101.5625,1750158478136.4192,2640,3844.9230769230767,2448,1793.4065934065932,17907,233.04878048780486,4.2909471480900052,-1,-1,99
14,103,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658446,1735002,5144109.375,1750158478144.2317,2640,3844.9230769230767,2447,1792.6739926739926,17907,233.04878048780486,4.2909471480900052,-1,-1,99
15,111,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658447,1735258,5144117.1875,1750158478152.0442,2640,3844.9230769230767,2446,1791.9413919413919,17907,233.04878048780486,4.2909471480900052,-1,-1,99
16,119,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658448,1735514,5144125,1750158478159.8567,2639,3843.4666666666667,2451,1795.6043956043954,17907,233.04878048780486,4.2909471480900052,-1,-1,99
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658449,1735770,5144132.8125,1750158478167.6692,2640,3844.9230769230767,2448,1793.4065934065932,17907,233.04878048780486,4.2909471480900052,-1,-1,99
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658450,1736026,5144140.625,1750158478175.4817,2640,3844.9230769230767,2447,1792.6739926739926,17907,233.04878048780486,4.2909471480900052,-1,-1,99
19,142,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658451,1736282,5144148.4375,1750158478183.2942,2621,3817.251282051282,2416,1769.9633699633698,17907,233.04878048780486,4.2909471480900052,-1,-1,99
20,150,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658452,1736538,5144156.25,1750158478191.1067,2640,3844.9230769230767,2429,1779.4871794871794,17907,233.04878048780486,4.2909471480900052,-1,-1,99
21,158,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658453,1736794,5144164.0625,1750158478198.9192,2636,3839.0974358974354,2430,1780.2197802197802,17907,233.04878048780486,4.2909471480900052,-1,-1,99
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658454,1737050,5144171.875,1750158478206.7317,2639,3843.4666666666667,2441,1788.2783882783881,17907,233.04878048780486,4.2909471480900052,-1,-1,99
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658455,1737306,5144179.6875,1750158478214.5442,2641,3846.3794871794871,2448,1793.4065934065932,17907,233.04878048780486,4.2909471480900052,-1,-1,99
24,181,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658456,1737562,5144187.5,1750158478222.3567,2640,3844.9230769230767,2447,1792.6739926739926,17907,233.04878048780486,4.2909471480900052,-1,-1,99
25,189,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658457,1737818,5144195.3125,1750158478230.1692,2636,3839.0974358974354,2440,1787.5457875457873,17907,233.04878048780486,4.2909471480900052,-1,-1,99
26,197,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658458,1738074,5144203.125,1750158478237.9817,2640,3844.9230769230767,2442,1789.0109890109889,17907,233.04878048780486,4.2909471480900052,-1,-1,99
27,205,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658459,1738330,5144210.9375,1750158478245.7942,2641,3846.3794871794871,2449,1794.1391941391939,17907,233.04878048780486,4.2909471480900052,-1,-1,99
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,658460,1738586,5144218.75,1750158478253.6067,2639,3843.4666666666667,2452,1796.3369963369962,17907,233.04878048780486,4.2909471480900052,-1,-1,99
