Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,13,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76741,11472157,599539.0625,1748345954058.1753,2717,3957.0666666666666,2323,1701.8315018315018,52771,766.984505363528,1.3038073038073039,213,-1,100
3,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76742,11472413,599546.875,1748345954065.9878,2724,3967.2615384615383,2327,1704.7619047619046,52771,766.984505363528,1.3038073038073039,213,-1,100
4,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76743,11472669,599554.6875,1748345954073.8003,2723,3965.8051282051279,2334,1709.8901098901097,52772,766.72340425531922,1.304251304251304,213,-1,100
5,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76744,11472925,599562.5,1748345954081.6128,2724,3967.2615384615383,2333,1709.1575091575091,52772,766.72340425531922,1.304251304251304,213,-1,100
6,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76745,11473181,599570.3125,1748345954089.4253,2717,3957.0666666666666,2322,1701.098901098901,52772,766.72340425531922,1.304251304251304,213,-1,100
7,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76746,11473437,599578.125,1748345954097.2378,2724,3967.2615384615383,2327,1704.7619047619046,52773,766.46248085758043,1.3046953046953047,213,-1,100
8,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76747,11473693,599585.9375,1748345954105.0503,2723,3965.8051282051279,2333,1709.1575091575091,52773,766.46248085758043,1.3046953046953047,213,-1,100
9,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76748,11473949,599593.75,1748345954112.8628,2724,3967.2615384615383,2333,1709.1575091575091,52773,766.46248085758043,1.3046953046953047,213,-1,100
10,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76749,11474205,599601.5625,1748345954120.6753,2717,3957.0666666666666,2322,1701.098901098901,52774,766.20173498894371,1.3051393051393052,213,-1,100
11,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76750,11474461,599609.375,1748345954128.4878,2723,3965.8051282051279,2331,1707.6923076923076,52774,766.20173498894371,1.3051393051393052,213,-1,100
12,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76751,11474717,599617.1875,1748345954136.3003,2724,3967.2615384615383,2332,1708.4249084249084,52774,766.20173498894371,1.3051393051393052,213,-1,100
13,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76752,11474973,599625,1748345954144.1128,2723,3965.8051282051279,2336,1711.3553113553112,52775,765.94116646828786,1.3055833055833053,213,-1,100
14,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76753,11475229,599632.8125,1748345954151.9253,2717,3957.0666666666666,2324,1702.5641025641025,52775,765.94116646828786,1.3055833055833053,213,-1,100
15,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76754,11475485,599640.625,1748345954159.7378,2723,3965.8051282051279,2332,1708.4249084249084,52775,765.94116646828786,1.3055833055833053,213,-1,100
16,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76755,11475741,599648.4375,1748345954167.5503,2724,3967.2615384615383,2332,1708.4249084249084,52776,765.68077511473746,1.306027306027306,213,-1,100
17,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76756,11475997,599656.25,1748345954175.3628,2723,3965.8051282051279,2336,1711.3553113553112,52775,765.94116646828786,1.3055833055833053,213,-1,100
18,144,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76757,11476253,599664.0625,1748345954183.1753,2717,3957.0666666666666,2324,1702.5641025641025,52776,765.68077511473746,1.306027306027306,213,-1,100
19,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76758,11476509,599671.875,1748345954190.9878,2724,3967.2615384615383,2328,1705.4945054945053,52776,765.68077511473746,1.306027306027306,213,-1,100
20,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76759,11476765,599679.6875,1748345954198.8003,2723,3965.8051282051279,2334,1709.8901098901097,52777,765.42056074766356,1.3064713064713065,213,-1,100
21,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76760,11477021,599687.5,1748345954206.6128,2723,3965.8051282051279,2337,1712.0879120879119,52777,765.42056074766356,1.3064713064713065,213,-1,100
22,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76761,11477277,599695.3125,1748345954214.4253,2718,3958.5230769230766,2325,1703.2967032967031,52778,765.16052318668255,1.3069153069153068,213,-1,100
23,183,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76762,11477533,599703.125,1748345954222.2378,2723,3965.8051282051279,2333,1709.1575091575091,52778,765.16052318668255,1.3069153069153068,213,-1,100
24,191,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76763,11477789,599710.9375,1748345954230.0503,2723,3965.8051282051279,2336,1711.3553113553112,52778,765.16052318668255,1.3069153069153068,213,-1,100
25,199,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76764,11478045,599718.75,1748345954237.8628,2724,3967.2615384615383,2334,1709.8901098901097,52778,765.16052318668255,1.3069153069153068,-1,-1,100
26,207,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76765,11478301,599726.5625,1748345954245.6753,2717,3957.0666666666666,2323,1701.8315018315018,52778,765.16052318668255,1.3069153069153068,-1,-1,100
27,214,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76766,11478557,599734.375,1748345954253.4878,2724,3967.2615384615383,2328,1705.4945054945053,52779,764.90066225165572,1.3073593073593073,-1,-1,100
28,222,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76767,11478813,599742.1875,1748345954261.3003,2723,3965.8051282051279,2334,1709.8901098901097,52779,764.90066225165572,1.3073593073593073,-1,-1,100
29,230,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76768,11479069,599750,1748345954269.1128,2724,3967.2615384615383,2333,1709.1575091575091,52779,764.90066225165572,1.3073593073593073,-1,-1,100
30,238,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76769,11479325,599757.8125,1748345954276.9253,2716,3955.6102564102562,2317,1697.4358974358972,52779,764.90066225165572,1.3073593073593073,-1,-1,100
31,246,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76770,11479581,599765.625,1748345954284.7378,2724,3967.2615384615383,2324,1702.5641025641025,52780,764.64097776268886,1.3078033078033078,-1,-1,100
32,254,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76771,11479837,599773.4375,1748345954292.5503,2724,3967.2615384615383,2328,1705.4945054945053,52780,764.64097776268886,1.3078033078033078,-1,-1,100
33,261,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76772,11480093,599781.25,1748345954300.3628,2724,3967.2615384615383,2330,1706.9597069597069,52781,764.38146954013246,1.3082473082473081,-1,-1,100
34,269,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76773,11480349,599789.0625,1748345954308.1753,2717,3957.0666666666666,2320,1699.6336996336995,52780,764.64097776268886,1.3078033078033078,-1,-1,100
35,277,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76774,11480605,599796.875,1748345954315.9878,2723,3965.8051282051279,2330,1706.9597069597069,52781,764.38146954013246,1.3082473082473081,-1,-1,100
36,285,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76775,11480861,599804.6875,1748345954323.8003,2723,3965.8051282051279,2335,1710.6227106227104,52782,764.12213740458014,1.3086913086913088,-1,-1,100
37,293,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76776,11481117,599812.5,1748345954331.6128,2724,3967.2615384615383,2334,1709.8901098901097,52781,764.38146954013246,1.3082473082473081,-1,-1,100
38,300,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76777,11481373,599820.3125,1748345954339.4253,2716,3955.6102564102562,2317,1697.4358974358972,52782,764.12213740458014,1.3086913086913088,-1,-1,100
39,308,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,76778,11481629,599828.125,1748345954347.2378,2723,3965.8051282051279,2328,1705.4945054945053,52782,764.12213740458014,1.3086913086913088,-1,-1,100
