Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,6,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176605,3482909,1379726.5625,1748346734245.6753,2717,3957.0666666666666,2304,1687.9120879120878,52884,738.56369896704371,1.3539793539793541,-1,-1,98
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176606,3483165,1379734.375,1748346734253.4878,2712,3949.7846153846149,2293,1679.8534798534797,52884,738.56369896704371,1.3539793539793541,-1,-1,98
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176607,3483421,1379742.1875,1748346734261.3003,2716,3955.6102564102562,2295,1681.3186813186812,52884,738.56369896704371,1.3539793539793541,-1,-1,98
5,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176608,3483677,1379750,1748346734269.1128,2717,3957.0666666666666,2301,1685.7142857142856,52883,738.80597014925388,1.3535353535353531,-1,-1,98
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176609,3483933,1379757.8125,1748346734276.9253,2717,3957.0666666666666,2305,1688.6446886446886,52883,738.80597014925388,1.3535353535353531,-1,-1,98
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176610,3484189,1379765.625,1748346734284.7378,2711,3948.3282051282049,2298,1683.5164835164835,52883,738.80597014925388,1.3535353535353531,-1,-1,98
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176611,3484445,1379773.4375,1748346734292.5503,2716,3955.6102564102562,2297,1682.7838827838827,52883,738.80597014925388,1.3535353535353531,-1,-1,98
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176612,3484701,1379781.25,1748346734300.3628,2716,3955.6102564102562,2297,1682.7838827838827,52883,738.80597014925388,1.3535353535353531,-1,-1,98
10,72,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176613,3484957,1379789.0625,1748346734308.1753,2717,3957.0666666666666,2303,1687.1794871794871,52883,738.80597014925388,1.3535353535353531,-1,-1,98
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176614,3485213,1379796.875,1748346734315.9878,2712,3949.7846153846149,2292,1679.120879120879,52882,739.04840032813775,1.3530913530913533,-1,-1,98
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176615,3485469,1379804.6875,1748346734323.8003,2717,3957.0666666666666,2300,1684.9816849816848,52882,739.04840032813775,1.3530913530913533,-1,-1,98
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176616,3485725,1379812.5,1748346734331.6128,2717,3957.0666666666666,2304,1687.9120879120878,52881,739.29098966026595,1.3526473526473526,-1,-1,98
14,103,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176617,3485981,1379820.3125,1748346734339.4253,2717,3957.0666666666666,2307,1690.1098901098901,52882,739.04840032813775,1.3530913530913533,-1,-1,98
15,111,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176618,3486237,1379828.125,1748346734347.2378,2712,3949.7846153846149,2294,1680.5860805860805,52882,739.04840032813775,1.3530913530913533,-1,-1,98
16,119,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176619,3486493,1379835.9375,1748346734355.0503,2715,3954.1538461538457,2299,1684.249084249084,52881,739.29098966026595,1.3526473526473526,-1,-1,98
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176620,3486749,1379843.75,1748346734362.8628,2717,3957.0666666666666,2304,1687.9120879120878,52881,739.29098966026595,1.3526473526473526,-1,-1,98
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176621,3487005,1379851.5625,1748346734370.6753,2717,3957.0666666666666,2306,1689.3772893772893,52881,739.29098966026595,1.3526473526473526,-1,-1,98
19,142,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176622,3487261,1379859.375,1748346734378.4878,2711,3948.3282051282049,2298,1683.5164835164835,52881,739.29098966026595,1.3526473526473526,-1,-1,98
20,150,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176623,3487517,1379867.1875,1748346734386.3003,2717,3957.0666666666666,2303,1687.1794871794871,52880,739.53373830241333,1.3522033522033523,-1,-1,98
21,158,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176624,3487773,1379875,1748346734394.1128,2717,3957.0666666666666,2305,1688.6446886446886,52880,739.53373830241333,1.3522033522033523,-1,-1,98
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176625,3488029,1379882.8125,1748346734401.9253,2717,3957.0666666666666,2307,1690.1098901098901,52880,739.53373830241333,1.3522033522033523,-1,-1,98
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176626,3488285,1379890.625,1748346734409.7378,2712,3949.7846153846149,2294,1680.5860805860805,52880,739.53373830241333,1.3522033522033523,-1,-1,98
24,181,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176627,3488541,1379898.4375,1748346734417.5503,2717,3957.0666666666666,2301,1685.7142857142856,52879,739.77664641156196,1.3517593517593516,-1,-1,98
25,189,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176628,3488797,1379906.25,1748346734425.3628,2717,3957.0666666666666,2304,1687.9120879120878,52880,739.53373830241333,1.3522033522033523,-1,-1,98
26,197,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176629,3489053,1379914.0625,1748346734433.1753,2717,3957.0666666666666,2306,1689.3772893772893,52880,739.53373830241333,1.3522033522033523,-1,-1,98
27,204,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176630,3489309,1379921.875,1748346734440.9878,2713,3951.2410256410253,2300,1684.9816849816848,52879,739.77664641156196,1.3517593517593516,-1,-1,98
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176631,3489565,1379929.6875,1748346734448.8003,2717,3957.0666666666666,2304,1687.9120879120878,52879,739.77664641156196,1.3517593517593516,-1,-1,98
29,220,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176632,3489821,1379937.5,1748346734456.6128,2717,3957.0666666666666,2306,1689.3772893772893,52879,739.77664641156196,1.3517593517593516,-1,-1,98
30,228,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176633,3490077,1379945.3125,1748346734464.4253,2717,3957.0666666666666,2307,1690.1098901098901,52878,740.01971414489913,1.3513153513153511,-1,-1,98
31,236,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176634,3490333,1379953.125,1748346734472.2378,2711,3948.3282051282049,2298,1683.5164835164835,52878,740.01971414489913,1.3513153513153511,-1,-1,98
32,244,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176635,3490589,1379960.9375,1748346734480.0503,2716,3955.6102564102562,2298,1683.5164835164835,52878,740.01971414489913,1.3513153513153511,-1,-1,98
33,251,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176636,3490845,1379968.75,1748346734487.8628,2718,3958.5230769230766,2304,1687.9120879120878,52877,740.26294165981915,1.350871350871351,-1,-1,98
34,259,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,176637,3491101,1379976.5625,1748346734495.6753,2717,3957.0666666666666,2306,1689.3772893772893,52877,740.26294165981915,1.350871350871351,-1,-1,98
