Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80766,11797715,630984.375,1748350575591.7214,2699,3930.8512820512819,2228,1632.2344322344322,35186,393.25842696629218,2.5428571428571427,-1,-1,99
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80767,11797971,630992.1875,1748350575599.5339,2693,3922.1128205128202,2217,1624.1758241758241,35185,393.48515422311908,2.5413919413919408,-1,-1,99
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80768,11798227,631000,1748350575607.3464,2698,3929.3948717948715,2220,1626.3736263736262,35185,393.48515422311908,2.5413919413919408,-1,-1,99
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80769,11798483,631007.8125,1748350575615.1589,2699,3930.8512820512819,2227,1631.5018315018315,35184,393.71214306316705,2.5399267399267398,-1,-1,99
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80770,11798739,631015.625,1748350575622.9714,2699,3930.8512820512819,2231,1634.4322344322343,35184,393.71214306316705,2.5399267399267398,-1,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80771,11798995,631023.4375,1748350575630.7839,2693,3922.1128205128202,2218,1624.9084249084249,35184,393.71214306316705,2.5399267399267398,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80772,11799251,631031.25,1748350575638.5964,2698,3929.3948717948715,2221,1627.1062271062269,35184,393.71214306316705,2.5399267399267398,-1,-1,99
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80773,11799507,631039.0625,1748350575646.4089,2698,3929.3948717948715,2222,1627.8388278388277,35184,393.71214306316705,2.5399267399267398,-1,-1,99
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80774,11799763,631046.875,1748350575654.2214,2698,3929.3948717948715,2222,1627.8388278388277,35183,393.93939393939394,2.5384615384615383,-1,-1,99
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80775,11800019,631054.6875,1748350575662.0339,2693,3922.1128205128202,2214,1621.9780219780218,35183,393.93939393939394,2.5384615384615383,-1,-1,99
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80776,11800275,631062.5,1748350575669.8464,2699,3930.8512820512819,2224,1629.3040293040292,35182,394.16690730580433,2.5369963369963364,-1,-1,99
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80777,11800531,631070.3125,1748350575677.6589,2699,3930.8512820512819,2229,1632.9670329670328,35182,394.16690730580433,2.5369963369963364,-1,-1,99
14,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80778,11800787,631078.125,1748350575685.4714,2699,3930.8512820512819,2232,1635.164835164835,35181,394.39468361745168,2.535531135531135,-1,-1,99
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80779,11801043,631085.9375,1748350575693.2839,2693,3922.1128205128202,2219,1625.6410256410256,35180,394.62272333044234,2.5340659340659339,-1,-1,99
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80780,11801299,631093.75,1748350575701.0964,2699,3930.8512820512819,2227,1631.5018315018315,35180,394.62272333044234,2.5340659340659339,-1,-1,99
17,125,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80781,11801555,631101.5625,1748350575708.9089,2699,3930.8512820512819,2231,1634.4322344322343,35179,394.8510269019381,2.5326007326007325,-1,-1,99
18,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80782,11801811,631109.375,1748350575716.7214,2699,3930.8512820512819,2233,1635.8974358974358,35179,394.8510269019381,2.5326007326007325,-1,-1,99
19,140,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80783,11802067,631117.1875,1748350575724.5339,2694,3923.5692307692307,2220,1626.3736263736262,35178,395.07959479015921,2.531135531135531,-1,-1,99
20,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80784,11802323,631125,1748350575732.3464,2698,3929.3948717948715,2222,1627.8388278388277,35177,395.30842745438753,2.5296703296703296,-1,-1,99
21,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80785,11802579,631132.8125,1748350575740.1589,2698,3929.3948717948715,2222,1627.8388278388277,35176,395.5375253549696,2.5282051282051281,-1,-1,99
22,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80786,11802835,631140.625,1748350575747.9714,2699,3930.8512820512819,2228,1632.2344322344322,35176,395.5375253549696,2.5282051282051281,-1,-1,99
23,172,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80787,11803091,631148.4375,1748350575755.7839,2693,3922.1128205128202,2217,1624.1758241758241,35175,395.76688895331984,2.5267399267399266,-1,-1,99
24,180,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80788,11803347,631156.25,1748350575763.5964,2699,3930.8512820512819,2225,1630.03663003663,35174,395.9965187119235,2.5252747252747247,-1,-1,99
25,187,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,80789,11803603,631164.0625,1748350575771.4089,2695,3925.0256410256407,2222,1627.8388278388277,35173,396.2264150943397,2.5238095238095233,-1,-1,99
