Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483143,14847773,3774554.6875,1748349129073.8003,2705,3939.5897435897432,2255,1652.0146520146518,52732,777.30802415875769,1.2864912864912863,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483144,14848029,3774562.5,1748349129081.6128,2704,3938.1333333333328,2250,1648.3516483516482,52732,777.30802415875769,1.2864912864912863,-1,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483145,14848285,3774570.3125,1748349129089.4253,2704,3938.1333333333328,2247,1646.153846153846,52733,777.03984819734342,1.286935286935287,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483146,14848541,3774578.125,1748349129097.2378,2700,3932.3076923076919,2238,1639.5604395604394,52733,777.03984819734342,1.286935286935287,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483147,14848797,3774585.9375,1748349129105.0503,2704,3938.1333333333328,2241,1641.7582417582416,52734,776.77185721676165,1.2873792873792873,-1,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483148,14849053,3774593.75,1748349129112.8628,2705,3939.5897435897432,2248,1646.8864468864467,52735,776.50405102568527,1.2878232878232878,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483149,14849309,3774601.5625,1748349129120.6753,2704,3938.1333333333328,2246,1645.4212454212452,52735,776.50405102568527,1.2878232878232878,-1,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483150,14849565,3774609.375,1748349129128.4878,2686,3911.9179487179481,2416,1769.9633699633698,52735,776.50405102568527,1.2878232878232878,-1,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483151,14849821,3774617.1875,1748349129136.3003,2704,3938.1333333333328,2338,1712.8205128205127,52736,776.23642943305208,1.2882672882672879,-1,-1,99
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483152,14850077,3774625,1748349129144.1128,2705,3939.5897435897432,2301,1685.7142857142856,52737,775.96899224806202,1.2887112887112888,-1,-1,99
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483153,14850333,3774632.8125,1748349129151.9253,2705,3939.5897435897432,2281,1671.0622710622708,52738,775.70173928017914,1.2891552891552891,-1,-1,99
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483154,14850589,3774640.625,1748349129159.7378,2686,3911.9179487179481,2435,1783.8827838827838,52738,775.70173928017914,1.2891552891552891,-1,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483155,14850845,3774648.4375,1748349129167.5503,2705,3939.5897435897432,2353,1723.8095238095236,52740,775.16778523489938,1.2900432900432901,-1,-1,99
15,110,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483156,14851101,3774656.25,1748349129175.3628,2705,3939.5897435897432,2310,1692.3076923076922,52740,775.16778523489938,1.2900432900432901,-1,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483157,14851357,3774664.0625,1748349129183.1753,2705,3939.5897435897432,2286,1674.7252747252746,52741,774.9010837777397,1.2904872904872902,-1,-1,99
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483158,14851613,3774671.875,1748349129190.9878,2700,3932.3076923076919,2259,1654.9450549450548,52742,774.63456577815998,1.2909312909312909,-1,-1,99
18,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483159,14851869,3774679.6875,1748349129198.8003,2705,3939.5897435897432,2258,1654.2124542124541,52744,774.10207939508507,1.2918192918192919,-1,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483160,14852125,3774687.5,1748349129206.6128,2705,3939.5897435897432,2257,1653.4798534798533,52743,774.36823104693156,1.2913752913752912,-1,-1,99
20,149,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483161,14852381,3774695.3125,1748349129214.4253,2705,3939.5897435897432,2257,1653.4798534798533,52744,774.10207939508507,1.2918192918192919,-1,-1,99
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,483162,14852637,3774703.125,1748349129222.2378,2700,3932.3076923076919,2243,1643.2234432234432,52744,774.10207939508507,1.2918192918192919,-1,-1,99
