Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,5,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60019,16168432,468898.4375,1747818894673.5784,2750,4005.1282051282046,2452,1796.3369963369962,35767,294.62551262680773,3.3941391941391936,-1,-1,100
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60020,16168688,468906.25,1747818894681.3909,2751,4006.5846153846151,2456,1799.2673992673992,35766,294.75275318505726,3.3926739926739922,-1,-1,100
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60021,16168944,468914.0625,1747818894689.2034,2750,4005.1282051282046,2453,1797.069597069597,35766,294.75275318505726,3.3926739926739922,-1,-1,100
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60022,16169200,468921.875,1747818894697.0159,2751,4006.5846153846151,2457,1799.9999999999998,35766,294.75275318505726,3.3926739926739922,-1,-1,100
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60023,16169456,468929.6875,1747818894704.8284,2751,4006.5846153846151,2459,1801.4652014652013,35766,294.75275318505726,3.3926739926739922,-1,-1,100
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60024,16169712,468937.5,1747818894712.6409,2751,4006.5846153846151,2460,1802.197802197802,35765,294.88010369410244,3.3912087912087903,-1,-1,100
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60025,16169968,468945.3125,1747818894720.4534,2750,4005.1282051282046,2455,1798.5347985347985,35765,294.88010369410244,3.3912087912087903,-1,-1,100
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60026,16170224,468953.125,1747818894728.2659,2735,3983.2820512820513,2427,1778.0219780219779,35766,294.75275318505726,3.3926739926739922,-1,-1,100
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60027,16170480,468960.9375,1747818894736.0784,2751,4006.5846153846151,2442,1789.0109890109889,35765,294.88010369410244,3.3912087912087903,-1,-1,100
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60028,16170736,468968.75,1747818894743.8909,2751,4006.5846153846151,2451,1795.6043956043954,35765,294.88010369410244,3.3912087912087903,-1,-1,100
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60029,16170992,468976.5625,1747818894751.7034,2750,4005.1282051282046,2450,1794.8717948717947,35764,295.0075642965204,3.3897435897435901,-1,-1,100
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60030,16171248,468984.375,1747818894759.5159,2750,4005.1282051282046,2450,1794.8717948717947,35764,295.0075642965204,3.3897435897435901,-1,-1,100
14,103,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60031,16171504,468992.1875,1747818894767.3284,2750,4005.1282051282046,2450,1794.8717948717947,35764,295.0075642965204,3.3897435897435901,-1,-1,100
15,111,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60032,16171760,469000,1747818894775.1409,2751,4006.5846153846151,2455,1798.5347985347985,35764,295.0075642965204,3.3897435897435901,-1,-1,100
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60033,16172016,469007.8125,1747818894782.9534,2750,4005.1282051282046,2452,1796.3369963369962,35764,295.0075642965204,3.3897435897435901,-1,-1,100
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60034,16172272,469015.625,1747818894790.7659,2750,4005.1282051282046,2451,1795.6043956043954,35763,295.13513513513516,3.3882783882783878,-1,-1,100
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60035,16172528,469023.4375,1747818894798.5784,2750,4005.1282051282046,2451,1795.6043956043954,35763,295.13513513513516,3.3882783882783878,-1,-1,100
19,142,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60036,16172784,469031.25,1747818894806.3909,2751,4006.5846153846151,2456,1799.2673992673992,35764,295.0075642965204,3.3897435897435901,-1,-1,100
20,150,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60037,16173040,469039.0625,1747818894814.2034,2750,4005.1282051282046,2452,1796.3369963369962,35763,295.13513513513516,3.3882783882783878,-1,-1,100
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60038,16173296,469046.875,1747818894822.0159,2735,3983.2820512820513,2426,1777.2893772893772,35763,295.13513513513516,3.3882783882783878,-1,-1,100
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60039,16173552,469054.6875,1747818894829.8284,2750,4005.1282051282046,2437,1785.3479853479853,35763,295.13513513513516,3.3882783882783878,-1,-1,100
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60040,16173808,469062.5,1747818894837.6409,2751,4006.5846153846151,2448,1793.4065934065932,35762,295.26281635301751,3.3868131868131872,-1,-1,100
24,181,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60041,16174064,469070.3125,1747818894845.4534,2750,4005.1282051282046,2449,1794.1391941391939,35762,295.26281635301751,3.3868131868131872,-1,-1,100
25,189,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60042,16174320,469078.125,1747818894853.2659,2736,3984.7384615384613,2419,1772.1611721611721,35762,295.26281635301751,3.3868131868131872,-1,-1,100
26,196,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60043,16174576,469085.9375,1747818894861.0784,2751,4006.5846153846151,2438,1786.080586080586,35761,295.39060809348632,3.3853479853479844,-1,-1,100
27,204,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60044,16174832,469093.75,1747818894868.8909,2751,4006.5846153846151,2449,1794.1391941391939,35761,295.39060809348632,3.3853479853479844,-1,-1,100
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60045,16175088,469101.5625,1747818894876.7034,2750,4005.1282051282046,2449,1794.1391941391939,35762,295.26281635301751,3.3868131868131872,-1,-1,100
29,220,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,60046,16175344,469109.375,1747818894884.5159,2735,3983.2820512820513,2424,1775.8241758241757,35762,295.26281635301751,3.3868131868131872,-1,-1,100
