Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113554,13096176,887140.625,1747819312915.7659,2747,4000.7589743589738,2419,1772.1611721611721,17921,229.2305441778818,4.3624203902949548,202,296.875,100
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113555,13096432,887148.4375,1747819312923.5784,2747,4000.7589743589738,2430,1780.2197802197802,17921,229.2305441778818,4.3624203902949548,202,-1,100
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113556,13096688,887156.25,1747819312931.3909,2746,3999.3025641025638,2431,1780.9523809523807,17921,229.2305441778818,4.3624203902949548,202,-1,100
5,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113557,13096944,887164.0625,1747819312939.2034,2729,3974.5435897435896,2399,1757.5091575091574,17922,228.96259497369959,4.3675256218810219,202,-1,100
6,41,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113558,13097200,887171.875,1747819312947.0159,2746,3999.3025641025638,2414,1768.4981684981683,17921,229.2305441778818,4.3624203902949548,202,-1,100
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113559,13097456,887179.6875,1747819312954.8284,2746,3999.3025641025638,2422,1774.3589743589741,17922,228.96259497369959,4.3675256218810219,202,-1,100
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113560,13097712,887187.5,1747819312962.6409,2746,3999.3025641025638,2427,1778.0219780219779,17921,229.2305441778818,4.3624203902949548,202,-1,100
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113561,13097968,887195.3125,1747819312970.4534,2729,3974.5435897435896,2396,1755.3113553113551,17921,229.2305441778818,4.3624203902949548,202,-1,100
10,72,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113562,13098224,887203.125,1747819312978.2659,2746,3999.3025641025638,2413,1767.7655677655675,17921,229.2305441778818,4.3624203902949548,202,-1,100
11,80,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113563,13098480,887210.9375,1747819312986.0784,2747,4000.7589743589738,2427,1778.0219780219779,17921,229.2305441778818,4.3624203902949548,202,-1,100
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113564,13098736,887218.75,1747819312993.8909,2746,3999.3025641025638,2429,1779.4871794871794,17921,229.2305441778818,4.3624203902949548,202,-1,100
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113565,13098992,887226.5625,1747819313001.7034,2729,3974.5435897435896,2398,1756.7765567765566,17921,229.2305441778818,4.3624203902949548,202,-1,100
14,103,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113566,13099248,887234.375,1747819313009.5159,2746,3999.3025641025638,2414,1768.4981684981683,17921,229.2305441778818,4.3624203902949548,202,-1,100
15,111,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113567,13099504,887242.1875,1747819313017.3284,2747,4000.7589743589738,2427,1778.0219780219779,17921,229.2305441778818,4.3624203902949548,202,-1,100
16,119,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113568,13099760,887250,1747819313025.1409,2745,3997.8461538461538,2429,1779.4871794871794,17921,229.2305441778818,4.3624203902949548,202,-1,100
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113569,13100016,887257.8125,1747819313032.9534,2728,3973.0871794871796,2392,1752.3809523809523,17921,229.2305441778818,4.3624203902949548,202,-1,100
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113570,13100272,887265.625,1747819313040.7659,2747,4000.7589743589738,2416,1769.9633699633698,17921,229.2305441778818,4.3624203902949548,202,-1,100
19,142,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113571,13100528,887273.4375,1747819313048.5784,2747,4000.7589743589738,2429,1779.4871794871794,17921,229.2305441778818,4.3624203902949548,202,-1,100
20,150,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113572,13100784,887281.25,1747819313056.3909,2746,3999.3025641025638,2430,1780.2197802197802,17921,229.2305441778818,4.3624203902949548,202,-1,100
21,158,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113573,13101040,887289.0625,1747819313064.2034,2729,3974.5435897435896,2399,1757.5091575091574,17921,229.2305441778818,4.3624203902949548,202,-1,100
22,166,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113574,13101296,887296.875,1747819313072.0159,2746,3999.3025641025638,2414,1768.4981684981683,17921,229.2305441778818,4.3624203902949548,202,-1,100
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113575,13101552,887304.6875,1747819313079.8284,2746,3999.3025641025638,2422,1774.3589743589741,17921,229.2305441778818,4.3624203902949548,202,-1,100
24,181,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113576,13101808,887312.5,1747819313087.6409,2746,3999.3025641025638,2427,1778.0219780219779,17921,229.2305441778818,4.3624203902949548,202,-1,100
25,189,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113577,13102064,887320.3125,1747819313095.4534,2728,3973.0871794871796,2392,1752.3809523809523,17921,229.2305441778818,4.3624203902949548,202,-1,100
26,197,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113578,13102320,887328.125,1747819313103.2659,2747,4000.7589743589738,2415,1769.2307692307691,17921,229.2305441778818,4.3624203902949548,202,-1,100
27,205,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113579,13102576,887335.9375,1747819313111.0784,2747,4000.7589743589738,2428,1778.7545787545787,17921,229.2305441778818,4.3624203902949548,202,-1,100
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113580,13102832,887343.75,1747819313118.8909,2746,3999.3025641025638,2430,1780.2197802197802,17921,229.2305441778818,4.3624203902949548,202,-1,100
29,220,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113581,13103088,887351.5625,1747819313126.7034,2728,3973.0871794871796,2393,1753.1135531135531,17921,229.2305441778818,4.3624203902949548,202,-1,100
30,228,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113582,13103344,887359.375,1747819313134.5159,2746,3999.3025641025638,2411,1766.3003663003662,17921,229.2305441778818,4.3624203902949548,202,-1,100
31,236,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113583,13103600,887367.1875,1747819313142.3284,2747,4000.7589743589738,2426,1777.2893772893772,17921,229.2305441778818,4.3624203902949548,202,-1,100
32,244,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113584,13103856,887375,1747819313150.1409,2746,3999.3025641025638,2428,1778.7545787545787,17920,229.49912126537794,4.357315158708885,202,-1,100
33,251,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113585,13104112,887382.8125,1747819313157.9534,2729,3974.5435897435896,2398,1756.7765567765566,17921,229.2305441778818,4.3624203902949548,202,-1,100
34,259,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113586,13104368,887390.625,1747819313165.7659,2747,4000.7589743589738,2419,1772.1611721611721,17921,229.2305441778818,4.3624203902949548,202,-1,100
35,267,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113587,13104624,887398.4375,1747819313173.5784,2747,4000.7589743589738,2430,1780.2197802197802,17921,229.2305441778818,4.3624203902949548,202,-1,100
36,275,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113588,13104880,887406.25,1747819313181.3909,2746,3999.3025641025638,2431,1780.9523809523807,17921,229.2305441778818,4.3624203902949548,-1,-1,100
37,283,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113589,13105136,887414.0625,1747819313189.2034,2729,3974.5435897435896,2399,1757.5091575091574,17921,229.2305441778818,4.3624203902949548,-1,-1,100
38,291,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113590,13105392,887421.875,1747819313197.0159,2746,3999.3025641025638,2414,1768.4981684981683,17921,229.2305441778818,4.3624203902949548,-1,-1,100
39,298,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113591,13105648,887429.6875,1747819313204.8284,2747,4000.7589743589738,2428,1778.7545787545787,17921,229.2305441778818,4.3624203902949548,-1,-1,100
40,306,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113592,13105904,887437.5,1747819313212.6409,2746,3999.3025641025638,2429,1779.4871794871794,17921,229.2305441778818,4.3624203902949548,-1,-1,100
41,314,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113593,13106160,887445.3125,1747819313220.4534,2729,3974.5435897435896,2399,1757.5091575091574,17921,229.2305441778818,4.3624203902949548,-1,-1,100
42,322,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113594,13106416,887453.125,1747819313228.2659,2747,4000.7589743589738,2419,1772.1611721611721,17921,229.2305441778818,4.3624203902949548,-1,-1,100
43,330,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113595,13106672,887460.9375,1747819313236.0784,2747,4000.7589743589738,2430,1780.2197802197802,17921,229.2305441778818,4.3624203902949548,-1,-1,100
44,337,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113596,13106928,887468.75,1747819313243.8909,2746,3999.3025641025638,2432,1781.6849816849815,17921,229.2305441778818,4.3624203902949548,-1,-1,100
45,345,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113597,13107184,887476.5625,1747819313251.7034,2728,3973.0871794871796,2394,1753.8461538461538,17921,229.2305441778818,4.3624203902949548,-1,-1,100
46,353,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113598,13107440,887484.375,1747819313259.5159,2746,3999.3025641025638,2411,1766.3003663003662,17921,229.2305441778818,4.3624203902949548,-1,-1,100
47,361,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113599,13107696,887492.1875,1747819313267.3284,2747,4000.7589743589738,2426,1777.2893772893772,17921,229.2305441778818,4.3624203902949548,-1,-1,100
48,369,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113600,13107952,887500,1747819313275.1409,2745,3997.8461538461538,2428,1778.7545787545787,17921,229.2305441778818,4.3624203902949548,-1,-1,100
49,376,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113601,13108208,887507.8125,1747819313282.9534,2729,3974.5435897435896,2398,1756.7765567765566,17921,229.2305441778818,4.3624203902949548,-1,-1,100
50,384,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113602,13108464,887515.625,1747819313290.7659,2747,4000.7589743589738,2419,1772.1611721611721,17921,229.2305441778818,4.3624203902949548,-1,-1,100
51,392,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113603,13108720,887523.4375,1747819313298.5784,2747,4000.7589743589738,2430,1780.2197802197802,17921,229.2305441778818,4.3624203902949548,-1,-1,100
52,400,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113604,13108976,887531.25,1747819313306.3909,2746,3999.3025641025638,2431,1780.9523809523807,17921,229.2305441778818,4.3624203902949548,-1,-1,100
53,408,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,113605,13109232,887539.0625,1747819313314.2034,2728,3973.0871794871796,2394,1753.8461538461538,17921,229.2305441778818,4.3624203902949548,-1,-1,100
