Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160344,382427,1252687.5,1750173903454.9014,2652,3862.3999999999996,2490,1824.1758241758241,36256,243.27214400285158,4.1106227106227102,-1,-1,99
3,14,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160345,382683,1252695.3125,1750173903462.7139,2634,3836.184615384615,2462,1803.6630036630036,36256,243.27214400285158,4.1106227106227102,-1,-1,99
4,22,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160346,382939,1252703.125,1750173903470.5264,2652,3862.3999999999996,2475,1813.186813186813,36256,243.27214400285158,4.1106227106227102,-1,-1,99
5,30,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160347,383195,1252710.9375,1750173903478.3389,2653,3863.8564102564101,2487,1821.9780219780218,36256,243.27214400285158,4.1106227106227102,-1,-1,99
6,38,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160348,383451,1252718.75,1750173903486.1514,2652,3862.3999999999996,2488,1822.7106227106226,36256,243.27214400285158,4.1106227106227102,-1,-1,99
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160349,383707,1252726.5625,1750173903493.9639,2634,3836.184615384615,2461,1802.9304029304028,36255,243.35888750222858,4.1091575091575088,-1,-1,99
8,53,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160350,383963,1252734.375,1750173903501.7764,2653,3863.8564102564101,2479,1816.117216117216,36256,243.27214400285158,4.1106227106227102,-1,-1,99
9,61,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160351,384219,1252742.1875,1750173903509.5889,2654,3865.3128205128201,2490,1824.1758241758241,36255,243.35888750222858,4.1091575091575088,-1,-1,99
10,69,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160352,384475,1252750,1750173903517.4014,2653,3863.8564102564101,2495,1827.8388278388277,36255,243.35888750222858,4.1091575091575088,-1,-1,99
11,77,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160353,384731,1252757.8125,1750173903525.2139,2634,3836.184615384615,2465,1805.8608058608058,36255,243.35888750222858,4.1091575091575088,-1,-1,99
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160354,384987,1252765.625,1750173903533.0264,2653,3863.8564102564101,2481,1817.5824175824175,36255,243.35888750222858,4.1091575091575088,-1,-1,99
13,92,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160355,385243,1252773.4375,1750173903540.8389,2653,3863.8564102564101,2490,1824.1758241758241,36255,243.35888750222858,4.1091575091575088,-1,-1,99
14,100,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160356,385499,1252781.25,1750173903548.6514,2652,3862.3999999999996,2490,1824.1758241758241,36254,243.44569288389516,4.1076923076923073,-1,-1,99
15,108,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160357,385755,1252789.0625,1750173903556.4639,2635,3837.6410256410254,2467,1807.3260073260071,36255,243.35888750222858,4.1091575091575088,-1,-1,99
16,116,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160358,386011,1252796.875,1750173903564.2764,2653,3863.8564102564101,2483,1819.047619047619,36254,243.44569288389516,4.1076923076923073,-1,-1,99
17,124,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160359,386267,1252804.6875,1750173903572.0889,2653,3863.8564102564101,2491,1824.9084249084249,36254,243.44569288389516,4.1076923076923073,-1,-1,99
18,131,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160360,386523,1252812.5,1750173903579.9014,2653,3863.8564102564101,2496,1828.5714285714284,36254,243.44569288389516,4.1076923076923073,-1,-1,99
19,139,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160361,386779,1252820.3125,1750173903587.7139,2635,3837.6410256410254,2470,1809.5238095238094,36254,243.44569288389516,4.1076923076923073,-1,-1,99
20,147,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160362,387035,1252828.125,1750173903595.5264,2653,3863.8564102564101,2484,1819.7802197802196,36254,243.44569288389516,4.1076923076923073,-1,-1,99
21,155,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160363,387291,1252835.9375,1750173903603.3389,2653,3863.8564102564101,2492,1825.6410256410254,36253,243.53256021409459,4.1062271062271058,-1,-1,99
22,163,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160364,387547,1252843.75,1750173903611.1514,2653,3863.8564102564101,2496,1828.5714285714284,36253,243.53256021409459,4.1062271062271058,-1,-1,99
23,171,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160365,387803,1252851.5625,1750173903618.9639,2634,3836.184615384615,2465,1805.8608058608058,36253,243.53256021409459,4.1062271062271058,-1,-1,99
24,178,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160366,388059,1252859.375,1750173903626.7764,2652,3862.3999999999996,2476,1813.9194139194137,36253,243.53256021409459,4.1062271062271058,-1,-1,99
25,186,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160367,388315,1252867.1875,1750173903634.5889,2654,3865.3128205128201,2488,1822.7106227106226,36253,243.53256021409459,4.1062271062271058,-1,-1,99
26,194,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160368,388571,1252875,1750173903642.4014,2653,3863.8564102564101,2494,1827.1062271062269,36252,243.61948955916475,4.1047619047619044,-1,-1,99
27,202,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160369,388827,1252882.8125,1750173903650.2139,2634,3836.184615384615,2464,1805.1282051282051,36253,243.53256021409459,4.1062271062271058,-1,-1,99
28,210,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160370,389083,1252890.625,1750173903658.0264,2653,3863.8564102564101,2481,1817.5824175824175,36252,243.61948955916475,4.1047619047619044,-1,-1,99
29,217,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160371,389339,1252898.4375,1750173903665.8389,2634,3836.184615384615,2457,1799.9999999999998,36252,243.61948955916475,4.1047619047619044,-1,-1,99
30,225,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160372,389595,1252906.25,1750173903673.6514,2652,3862.3999999999996,2472,1810.9890109890109,36252,243.61948955916475,4.1047619047619044,-1,-1,99
31,233,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160373,389851,1252914.0625,1750173903681.4639,2635,3837.6410256410254,2458,1800.7326007326005,36251,243.70648098553832,4.1032967032967029,-1,-1,99
32,241,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160374,390107,1252921.875,1750173903689.2764,2653,3863.8564102564101,2477,1814.6520146520145,36252,243.61948955916475,4.1047619047619044,-1,-1,99
33,249,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160375,390363,1252929.6875,1750173903697.0889,2653,3863.8564102564101,2488,1822.7106227106226,36251,243.70648098553832,4.1032967032967029,-1,-1,99
34,256,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160376,390619,1252937.5,1750173903704.9014,2653,3863.8564102564101,2494,1827.1062271062269,36251,243.70648098553832,4.1032967032967029,-1,-1,99
35,264,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160377,390875,1252945.3125,1750173903712.7139,2634,3836.184615384615,2464,1805.1282051282051,36251,243.70648098553832,4.1032967032967029,-1,-1,99
36,272,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160378,391131,1252953.125,1750173903720.5264,2653,3863.8564102564101,2481,1817.5824175824175,36251,243.70648098553832,4.1032967032967029,-1,-1,99
37,280,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160379,391387,1252960.9375,1750173903728.3389,2633,3834.7282051282045,2456,1799.2673992673992,36251,243.70648098553832,4.1032967032967029,-1,-1,99
38,288,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160380,391643,1252968.75,1750173903736.1514,2653,3863.8564102564101,2477,1814.6520146520145,36250,243.79353455974282,4.1018315018315024,-1,-1,99
39,296,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160381,391899,1252976.5625,1750173903743.9639,2635,3837.6410256410254,2460,1802.197802197802,36250,243.79353455974282,4.1018315018315024,-1,-1,99
40,303,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160382,392155,1252984.375,1750173903751.7764,2653,3863.8564102564101,2479,1816.117216117216,36250,243.79353455974282,4.1018315018315024,-1,-1,99
41,311,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160383,392411,1252992.1875,1750173903759.5889,2654,3865.3128205128201,2490,1824.1758241758241,36250,243.79353455974282,4.1018315018315024,-1,-1,99
42,319,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160384,392667,1253000,1750173903767.4014,2652,3862.3999999999996,2490,1824.1758241758241,36250,243.79353455974282,4.1018315018315024,-1,-1,99
43,327,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160385,392923,1253007.8125,1750173903775.2139,2634,3836.184615384615,2462,1803.6630036630036,36249,243.88065034840096,4.1003663003663,-1,-1,99
44,335,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160386,393179,1253015.625,1750173903783.0264,2653,3863.8564102564101,2480,1816.8498168498168,36250,243.79353455974282,4.1018315018315024,-1,-1,99
45,342,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160387,393435,1253023.4375,1750173903790.8389,2653,3863.8564102564101,2490,1824.1758241758241,36249,243.88065034840096,4.1003663003663,-1,-1,99
46,350,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160388,393691,1253031.25,1750173903798.6514,2653,3863.8564102564101,2495,1827.8388278388277,36249,243.88065034840096,4.1003663003663,-1,-1,99
47,358,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160389,393947,1253039.0625,1750173903806.4639,2634,3836.184615384615,2465,1805.8608058608058,36248,243.9678284182306,4.0989010989010985,-1,-1,99
48,366,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160390,394203,1253046.875,1750173903814.2764,2652,3862.3999999999996,2476,1813.9194139194137,36249,243.88065034840096,4.1003663003663,-1,-1,99
49,374,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160391,394459,1253054.6875,1750173903822.0889,2653,3863.8564102564101,2488,1822.7106227106226,36249,243.88065034840096,4.1003663003663,-1,-1,99
50,381,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160392,394715,1253062.5,1750173903829.9014,2653,3863.8564102564101,2494,1827.1062271062269,36248,243.9678284182306,4.0989010989010985,-1,-1,99
51,389,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160393,394971,1253070.3125,1750173903837.7139,2634,3836.184615384615,2464,1805.1282051282051,36248,243.9678284182306,4.0989010989010985,-1,-1,99
52,397,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160394,395227,1253078.125,1750173903845.5264,2653,3863.8564102564101,2481,1817.5824175824175,36248,243.9678284182306,4.0989010989010985,-1,-1,99
53,405,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160395,395483,1253085.9375,1750173903853.3389,2653,3863.8564102564101,2490,1824.1758241758241,36248,243.9678284182306,4.0989010989010985,-1,-1,99
54,413,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160396,395739,1253093.75,1750173903861.1514,2652,3862.3999999999996,2490,1824.1758241758241,36248,243.9678284182306,4.0989010989010985,-1,-1,99
55,421,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160397,395995,1253101.5625,1750173903868.9639,2634,3836.184615384615,2462,1803.6630036630036,36247,244.05506883604508,4.0974358974358971,-1,-1,99
56,428,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160398,396251,1253109.375,1750173903876.7764,2653,3863.8564102564101,2480,1816.8498168498168,36247,244.05506883604508,4.0974358974358971,-1,-1,99
57,436,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160399,396507,1253117.1875,1750173903884.5889,2654,3865.3128205128201,2490,1824.1758241758241,36247,244.05506883604508,4.0974358974358971,-1,-1,99
58,444,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160400,396763,1253125,1750173903892.4014,2653,3863.8564102564101,2495,1827.8388278388277,36247,244.05506883604508,4.0974358974358971,-1,-1,99
59,452,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160401,397019,1253132.8125,1750173903900.2139,2634,3836.184615384615,2465,1805.8608058608058,36247,244.05506883604508,4.0974358974358971,-1,-1,99
60,460,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160402,397275,1253140.625,1750173903908.0264,2653,3863.8564102564101,2482,1818.3150183150183,36247,244.05506883604508,4.0974358974358971,-1,-1,99
61,467,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160403,397531,1253148.4375,1750173903915.8389,2653,3863.8564102564101,2491,1824.9084249084249,36246,244.14237166875338,4.0959706959706947,-1,-1,99
62,475,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160404,397787,1253156.25,1750173903923.6514,2652,3862.3999999999996,2490,1824.1758241758241,36246,244.14237166875338,4.0959706959706947,-1,-1,99
63,483,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160405,398043,1253164.0625,1750173903931.4639,2634,3836.184615384615,2462,1803.6630036630036,36247,244.05506883604508,4.0974358974358971,-1,-1,99
64,491,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160406,398299,1253171.875,1750173903939.2764,2652,3862.3999999999996,2475,1813.186813186813,36246,244.14237166875338,4.0959706959706947,-1,-1,99
65,499,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,160407,398555,1253179.6875,1750173903947.0889,2654,3865.3128205128201,2487,1821.9780219780218,36246,244.14237166875338,4.0959706959706947,-1,-1,99
