Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186790,7152603,1459296.875,1750174110064.2764,2632,3833.271794871795,2442,1789.0109890109889,18021,205.21477213200629,4.8729435489017368,-1,-1,99
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186791,7152859,1459304.6875,1750174110072.0889,2651,3860.9435897435892,2468,1808.0586080586079,18021,205.21477213200629,4.8729435489017368,-1,-1,99
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186792,7153115,1459312.5,1750174110079.9014,2630,3830.3589743589741,2443,1789.7435897435896,18021,205.21477213200629,4.8729435489017368,-1,-1,99
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186793,7153371,1459320.3125,1750174110087.7139,2650,3859.4871794871792,2464,1805.1282051282051,18021,205.21477213200629,4.8729435489017368,-1,-1,99
6,41,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186794,7153627,1459328.125,1750174110095.5264,2632,3833.271794871795,2442,1789.0109890109889,18021,205.21477213200629,4.8729435489017368,-1,-1,99
7,49,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186795,7153883,1459335.9375,1750174110103.3389,2651,3860.9435897435892,2468,1808.0586080586079,18021,205.21477213200629,4.8729435489017368,-1,-1,99
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186796,7154139,1459343.75,1750174110111.1514,2651,3860.9435897435892,2483,1819.047619047619,18021,205.21477213200629,4.8729435489017368,-1,-1,99
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186797,7154395,1459351.5625,1750174110118.9639,2650,3859.4871794871792,2486,1821.2454212454211,18021,205.21477213200629,4.8729435489017368,-1,-1,99
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186798,7154651,1459359.375,1750174110126.7764,2631,3831.8153846153846,2458,1800.7326007326005,18021,205.21477213200629,4.8729435489017368,-1,-1,99
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186799,7154907,1459367.1875,1750174110134.5889,2650,3859.4871794871792,2472,1810.9890109890109,18022,205,4.8780487804878048,-1,-1,99
12,88,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186800,7155163,1459375,1750174110142.4014,2651,3860.9435897435892,2485,1820.5128205128203,18022,205,4.8780487804878048,-1,-1,99
13,96,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186801,7155419,1459382.8125,1750174110150.2139,2650,3859.4871794871792,2486,1821.2454212454211,18022,205,4.8780487804878048,-1,-1,99
14,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186802,7155675,1459390.625,1750174110158.0264,2632,3833.271794871795,2454,1797.8021978021977,18022,205,4.8780487804878048,-1,-1,99
15,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186803,7155931,1459398.4375,1750174110165.8389,2650,3859.4871794871792,2469,1808.7912087912086,18023,204.78567694720337,4.8831540120738719,-1,-1,99
16,120,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186804,7156187,1459406.25,1750174110173.6514,2651,3860.9435897435892,2484,1819.7802197802196,18023,204.78567694720337,4.8831540120738719,-1,-1,99
17,127,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186805,7156443,1459414.0625,1750174110181.4639,2650,3859.4871794871792,2486,1821.2454212454211,18023,204.78567694720337,4.8831540120738719,-1,-1,99
18,135,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186806,7156699,1459421.875,1750174110189.2764,2631,3831.8153846153846,2458,1800.7326007326005,18024,204.57180156657972,4.8882592436599381,-1,-1,99
19,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186807,7156955,1459429.6875,1750174110197.0889,2651,3860.9435897435892,2477,1814.6520146520145,18024,204.57180156657972,4.8882592436599381,-1,-1,99
20,151,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186808,7157211,1459437.5,1750174110204.9014,2651,3860.9435897435892,2488,1822.7106227106226,18024,204.57180156657972,4.8882592436599381,-1,-1,99
21,159,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186809,7157467,1459445.3125,1750174110212.7139,2650,3859.4871794871792,2488,1822.7106227106226,18025,204.35837245696402,4.8933644752460079,-1,-1,99
22,166,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186810,7157723,1459453.125,1750174110220.5264,2631,3831.8153846153846,2459,1801.4652014652013,18025,204.35837245696402,4.8933644752460079,-1,-1,99
23,174,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186811,7157979,1459460.9375,1750174110228.3389,2650,3859.4871794871792,2473,1811.7216117216117,18025,204.35837245696402,4.8933644752460079,-1,-1,99
24,182,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186812,7158235,1459468.75,1750174110236.1514,2651,3860.9435897435892,2485,1820.5128205128203,18025,204.35837245696402,4.8933644752460079,-1,-1,99
25,190,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186813,7158491,1459476.5625,1750174110243.9639,2650,3859.4871794871792,2487,1821.9780219780218,18026,204.14538822303285,4.8984697068320751,-1,-1,99
26,198,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186814,7158747,1459484.375,1750174110251.7764,2632,3833.271794871795,2454,1797.8021978021977,18026,204.14538822303285,4.8984697068320751,-1,-1,99
27,206,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186815,7159003,1459492.1875,1750174110259.5889,2650,3859.4871794871792,2470,1809.5238095238094,18026,204.14538822303285,4.8984697068320751,-1,-1,99
28,213,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186816,7159259,1459500,1750174110267.4014,2650,3859.4871794871792,2479,1816.117216117216,18025,204.35837245696402,4.8933644752460079,-1,-1,99
29,221,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186817,7159515,1459507.8125,1750174110275.2139,2650,3859.4871794871792,2483,1819.047619047619,18026,204.14538822303285,4.8984697068320751,-1,-1,99
30,229,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186818,7159771,1459515.625,1750174110283.0264,2632,3833.271794871795,2452,1796.3369963369962,18026,204.14538822303285,4.8984697068320751,-1,-1,99
31,237,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186819,7160027,1459523.4375,1750174110290.8389,2651,3860.9435897435892,2474,1812.4542124542124,18027,203.93284747527332,4.9035749384181431,-1,-1,99
32,245,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186820,7160283,1459531.25,1750174110298.6514,2651,3860.9435897435892,2486,1821.2454212454211,18027,203.93284747527332,4.9035749384181431,-1,-1,99
33,252,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186821,7160539,1459539.0625,1750174110306.4639,2650,3859.4871794871792,2487,1821.9780219780218,18027,203.93284747527332,4.9035749384181431,-1,-1,99
34,260,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186822,7160795,1459546.875,1750174110314.2764,2631,3831.8153846153846,2459,1801.4652014652013,18027,203.93284747527332,4.9035749384181431,-1,-1,99
35,268,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186823,7161051,1459554.6875,1750174110322.0889,2651,3860.9435897435892,2478,1815.3846153846152,18028,203.72074882995321,4.908680170004212,-1,-1,99
36,276,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186824,7161307,1459562.5,1750174110329.9014,2650,3859.4871794871792,2482,1818.3150183150183,18028,203.72074882995321,4.908680170004212,-1,-1,99
37,284,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186825,7161563,1459570.3125,1750174110337.7139,2650,3859.4871794871792,2485,1820.5128205128203,18028,203.72074882995321,4.908680170004212,-1,-1,99
38,291,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186826,7161819,1459578.125,1750174110345.5264,2632,3833.271794871795,2453,1797.069597069597,18028,203.72074882995321,4.908680170004212,-1,-1,99
39,299,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186827,7162075,1459585.9375,1750174110353.3389,2651,3860.9435897435892,2475,1813.186813186813,18029,203.50909090909093,4.9137854015902791,-1,-1,99
40,307,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186828,7162331,1459593.75,1750174110361.1514,2650,3859.4871794871792,2481,1817.5824175824175,18029,203.50909090909093,4.9137854015902791,-1,-1,99
