Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,28,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460651,10152155,3598835.9375,1750176249603.3389,2629,3828.9025641025637,2404,1761.1721611721609,18176,176.54574132492118,5.664254444742248,-1,-1,99
3,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460652,10152411,3598843.75,1750176249611.1514,2629,3828.9025641025637,2407,1763.3699633699632,18175,176.70500676589992,5.65914921315618,-1,-1,99
4,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460653,10152667,3598851.5625,1750176249618.9639,2619,3814.3384615384612,2392,1752.3809523809523,18175,176.70500676589992,5.65914921315618,-1,-1,99
5,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460654,10152923,3598859.375,1750176249626.7764,2629,3828.9025641025637,2401,1758.9743589743589,18175,176.70500676589992,5.65914921315618,-1,-1,99
6,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460655,10153179,3598867.1875,1750176249634.5889,2629,3828.9025641025637,2405,1761.9047619047617,18175,176.70500676589992,5.65914921315618,-1,-1,99
7,67,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460656,10153435,3598875,1750176249642.4014,2629,3828.9025641025637,2408,1764.102564102564,18175,176.70500676589992,5.65914921315618,-1,-1,99
8,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460657,10153691,3598882.8125,1750176249650.2139,2618,3812.8820512820507,2387,1748.7179487179485,18175,176.70500676589992,5.65914921315618,-1,-1,99
9,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460658,10153947,3598890.625,1750176249658.0264,2628,3827.4461538461537,2393,1753.1135531135531,18175,176.70500676589992,5.65914921315618,-1,-1,99
10,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460659,10154203,3598898.4375,1750176249665.8389,2629,3828.9025641025637,2401,1758.9743589743589,18174,176.86455981941313,5.6540439815701129,-1,-1,99
11,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460660,10154459,3598906.25,1750176249673.6514,2629,3828.9025641025637,2405,1761.9047619047617,18175,176.70500676589992,5.65914921315618,-1,-1,99
12,106,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460661,10154715,3598914.0625,1750176249681.4639,2618,3812.8820512820507,2386,1747.985347985348,18174,176.86455981941313,5.6540439815701129,-1,-1,99
13,114,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460662,10154971,3598921.875,1750176249689.2764,2629,3828.9025641025637,2397,1756.0439560439559,18174,176.86455981941313,5.6540439815701129,-1,-1,99
14,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460663,10155227,3598929.6875,1750176249697.0889,2621,3817.251282051282,2388,1749.4505494505493,18175,176.70500676589992,5.65914921315618,-1,-1,99
15,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460664,10155483,3598937.5,1750176249704.9014,2608,3798.3179487179482,2355,1725.2747252747251,18175,176.70500676589992,5.65914921315618,-1,-1,99
16,137,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460665,10155739,3598945.3125,1750176249712.7139,2618,3812.8820512820507,2358,1727.4725274725274,18174,176.86455981941313,5.6540439815701129,-1,-1,99
17,145,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460666,10155995,3598953.125,1750176249720.5264,2628,3827.4461538461537,2377,1741.3919413919414,18174,176.86455981941313,5.6540439815701129,-1,-1,99
18,153,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460667,10156251,3598960.9375,1750176249728.3389,2622,3818.707692307692,2378,1742.1245421245419,18174,176.86455981941313,5.6540439815701129,-1,-1,99
19,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460668,10156507,3598968.75,1750176249736.1514,2629,3828.9025641025637,2393,1753.1135531135531,18174,176.86455981941313,5.6540439815701129,-1,-1,99
20,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460669,10156763,3598976.5625,1750176249743.9639,2618,3812.8820512820507,2379,1742.8571428571427,18174,176.86455981941313,5.6540439815701129,-1,-1,99
21,176,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460670,10157019,3598984.375,1750176249751.7764,2629,3828.9025641025637,2393,1753.1135531135531,18174,176.86455981941313,5.6540439815701129,-1,-1,99
22,184,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460671,10157275,3598992.1875,1750176249759.5889,2629,3828.9025641025637,2401,1758.9743589743589,18174,176.86455981941313,5.6540439815701129,-1,-1,99
23,192,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460672,10157531,3599000,1750176249767.4014,2629,3828.9025641025637,2406,1762.6373626373625,18173,177.02440126525084,5.6489387499840449,-1,-1,99
24,199,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460673,10157787,3599007.8125,1750176249775.2139,2618,3812.8820512820507,2386,1747.985347985348,18174,176.86455981941313,5.6540439815701129,-1,-1,99
25,207,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460674,10158043,3599015.625,1750176249783.0264,2628,3827.4461538461537,2392,1752.3809523809523,18174,176.86455981941313,5.6540439815701129,-1,-1,99
26,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460675,10158299,3599023.4375,1750176249790.8389,2629,3828.9025641025637,2401,1758.9743589743589,18173,177.02440126525084,5.6489387499840449,-1,-1,99
27,223,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460676,10158555,3599031.25,1750176249798.6514,2628,3827.4461538461537,2400,1758.2417582417581,18173,177.02440126525084,5.6489387499840449,-1,-1,99
28,231,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460677,10158811,3599039.0625,1750176249806.4639,2618,3812.8820512820507,2383,1745.7875457875457,18173,177.02440126525084,5.6489387499840449,-1,-1,99
29,239,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460678,10159067,3599046.875,1750176249814.2764,2629,3828.9025641025637,2396,1755.3113553113551,18174,176.86455981941313,5.6540439815701129,-1,-1,99
30,246,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460679,10159323,3599054.6875,1750176249822.0889,2628,3827.4461538461537,2397,1756.0439560439559,18173,177.02440126525084,5.6489387499840449,-1,-1,99
31,254,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460680,10159579,3599062.5,1750176249829.9014,2628,3827.4461538461537,2398,1756.7765567765566,18173,177.02440126525084,5.6489387499840449,-1,-1,99
32,262,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460681,10159835,3599070.3125,1750176249837.7139,2618,3812.8820512820507,2382,1745.0549450549449,18173,177.02440126525084,5.6489387499840449,-1,-1,99
33,270,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460682,10160091,3599078.125,1750176249845.5264,2628,3827.4461538461537,2390,1750.9157509157508,18173,177.02440126525084,5.6489387499840449,-1,-1,99
34,278,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460683,10160347,3599085.9375,1750176249853.3389,2628,3827.4461538461537,2394,1753.8461538461538,18172,177.18453188602442,5.6438335183979778,-1,-1,99
35,285,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460684,10160603,3599093.75,1750176249861.1514,2629,3828.9025641025637,2402,1759.7069597069597,18173,177.02440126525084,5.6489387499840449,-1,-1,99
36,293,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460685,10160859,3599101.5625,1750176249868.9639,2618,3812.8820512820507,2384,1746.5201465201465,18173,177.02440126525084,5.6489387499840449,-1,-1,99
37,301,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460686,10161115,3599109.375,1750176249876.7764,2629,3828.9025641025637,2396,1755.3113553113551,18172,177.18453188602442,5.6438335183979778,-1,-1,99
38,309,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460687,10161371,3599117.1875,1750176249884.5889,2628,3827.4461538461537,2397,1756.0439560439559,18172,177.18453188602442,5.6438335183979778,-1,-1,99
39,317,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460688,10161627,3599125,1750176249892.4014,2629,3828.9025641025637,2404,1761.1721611721609,18172,177.18453188602442,5.6438335183979778,-1,-1,99
40,324,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460689,10161883,3599132.8125,1750176249900.2139,2618,3812.8820512820507,2384,1746.5201465201465,18172,177.18453188602442,5.6438335183979778,-1,-1,99
41,332,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460690,10162139,3599140.625,1750176249908.0264,2629,3828.9025641025637,2397,1756.0439560439559,18172,177.18453188602442,5.6438335183979778,-1,-1,99
42,340,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460691,10162395,3599148.4375,1750176249915.8389,2629,3828.9025641025637,2403,1760.4395604395604,18172,177.18453188602442,5.6438335183979778,-1,-1,99
43,348,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460692,10162651,3599156.25,1750176249923.6514,2629,3828.9025641025637,2407,1763.3699633699632,18172,177.18453188602442,5.6438335183979778,-1,-1,99
44,356,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460693,10162907,3599164.0625,1750176249931.4639,2618,3812.8820512820507,2386,1747.985347985348,18172,177.18453188602442,5.6438335183979778,-1,-1,99
45,364,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460694,10163163,3599171.875,1750176249939.2764,2628,3827.4461538461537,2393,1753.1135531135531,18172,177.18453188602442,5.6438335183979778,-1,-1,99
46,371,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460695,10163419,3599179.6875,1750176249947.0889,2629,3828.9025641025637,2401,1758.9743589743589,18172,177.18453188602442,5.6438335183979778,-1,-1,99
47,379,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460696,10163675,3599187.5,1750176249954.9014,2628,3827.4461538461537,2400,1758.2417582417581,18172,177.18453188602442,5.6438335183979778,-1,-1,99
48,387,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460697,10163931,3599195.3125,1750176249962.7139,2617,3811.4256410256407,2382,1745.0549450549449,18171,177.34495246717972,5.6387282868119097,-1,-1,99
49,395,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460698,10164187,3599203.125,1750176249970.5264,2628,3827.4461538461537,2390,1750.9157509157508,18171,177.34495246717972,5.6387282868119097,-1,-1,99
50,403,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460699,10164443,3599210.9375,1750176249978.3389,2628,3827.4461538461537,2394,1753.8461538461538,18171,177.34495246717972,5.6387282868119097,-1,-1,99
51,410,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460700,10164699,3599218.75,1750176249986.1514,2629,3828.9025641025637,2402,1759.7069597069597,18171,177.34495246717972,5.6387282868119097,-1,-1,99
52,418,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460701,10164955,3599226.5625,1750176249993.9639,2618,3812.8820512820507,2384,1746.5201465201465,18171,177.34495246717972,5.6387282868119097,-1,-1,99
53,426,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460702,10165211,3599234.375,1750176250001.7764,2629,3828.9025641025637,2396,1755.3113553113551,18171,177.34495246717972,5.6387282868119097,-1,-1,99
54,434,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460703,10165467,3599242.1875,1750176250009.5889,2629,3828.9025641025637,2402,1759.7069597069597,18171,177.34495246717972,5.6387282868119097,-1,-1,99
55,442,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460704,10165723,3599250,1750176250017.4014,2628,3827.4461538461537,2401,1758.9743589743589,18171,177.34495246717972,5.6387282868119097,-1,-1,99
56,449,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460705,10165979,3599257.8125,1750176250025.2139,2618,3812.8820512820507,2383,1745.7875457875457,18171,177.34495246717972,5.6387282868119097,-1,-1,99
57,457,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460706,10166235,3599265.625,1750176250033.0264,2628,3827.4461538461537,2390,1750.9157509157508,18171,177.34495246717972,5.6387282868119097,-1,-1,99
58,465,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460707,10166491,3599273.4375,1750176250040.8389,2627,3825.9897435897433,2399,1757.5091575091574,18170,177.5056637970095,5.6336230552258426,-1,-1,99
59,473,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460708,10166747,3599281.25,1750176250048.6514,2609,3799.7743589743586,2366,1733.3333333333333,18171,177.34495246717972,5.6387282868119097,-1,-1,99
60,481,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460709,10167003,3599289.0625,1750176250056.4639,2617,3811.4256410256407,2363,1731.135531135531,18171,177.34495246717972,5.6387282868119097,-1,-1,99
61,489,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460710,10167259,3599296.875,1750176250064.2764,2629,3828.9025641025637,2385,1747.2527472527472,18171,177.34495246717972,5.6387282868119097,-1,-1,99
62,496,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460711,10167515,3599304.6875,1750176250072.0889,2629,3828.9025641025637,2397,1756.0439560439559,18171,177.34495246717972,5.6387282868119097,-1,-1,99
63,504,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460712,10167771,3599312.5,1750176250079.9014,2629,3828.9025641025637,2403,1760.4395604395604,18170,177.5056637970095,5.6336230552258426,-1,-1,99
64,512,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,460713,10168027,3599320.3125,1750176250087.7139,2617,3811.4256410256407,2383,1745.7875457875457,18170,177.5056637970095,5.6336230552258426,-1,-1,99
